dataset,split,node_id,mlp_pred,final_pred,true_label,beneficial,harmful,routed_to_correction,reliability,mlp_margin,score_orig,score_final,score_gap,gap_concentration,dominant_reason,dominant_gap,mlp_anchor_orig,mlp_anchor_final,prototype_orig,prototype_final,neighbor_support_orig,neighbor_support_final,compatibility_orig,compatibility_final,feature_knn_orig,feature_knn_final,structural_far_orig,structural_far_final,mlp_anchor_gap,prototype_gap,neighbor_support_gap,compatibility_gap,feature_knn_gap,structural_far_gap
cora,0,88,2,0,0,1,0,1,0.4722076495502088,0.07616987824440002,-0.2658020900588936,-0.018896736732758157,0.24690535332613545,0.500929419325775,neighbor_support,0.2772339408693806,-0.6235598221953446,-0.7768267093807358,0.20204081535339358,0.2160766363143921,0.09839864014372227,0.3756325810131028,0.05731827663933509,0.16622075532048275,0.0,0.0,0.0,0.0,-0.15326688718539128,0.014035820960998535,0.2772339408693806,0.10890247868114766,0.0,0.0
cora,0,209,5,4,4,1,0,1,0.39375641564067276,0.5626794099807739,-0.05933941560005972,-0.043404574843690535,0.01593484075636918,0.33895641732459064,neighbor_support,0.9,-0.26411867381892196,-1.5837555618408705,0.1984233260154724,0.2194394588470459,0.0,0.9,0.006355932203389831,0.42091152815013405,0.0,0.0,0.0,0.0,-1.3196368880219485,0.021016132831573497,0.9,0.41455559594674424,0.0,0.0
cora,0,799,4,3,3,1,0,1,0.39375641564067276,0.1534140408039093,-0.3118018521438721,0.6546765460818236,0.9664783982256957,0.5676764356723625,neighbor_support,0.9,-0.5509617188399409,-0.8604276096732961,0.20564780235290528,0.20674402713775636,0.0,0.9,0.03351206434316354,0.40836012861736337,0.0,0.0,0.0,0.0,-0.3094658908333552,0.0010962247848510798,0.9,0.3748480642741998,0.0,0.0
cora,0,1076,5,6,6,1,0,1,0.3091332149090061,0.05113792419433594,-0.7934485722885861,-0.05321574288233458,0.7402328294062516,0.6157249054685948,neighbor_support,0.653301508098547,-1.0393316796608307,-1.195498619633382,0.2040360689163208,0.19980530738830568,0.01821584992595304,0.6715173580245001,0.02363118852997077,0.2709602113382418,0.0,0.0,0.0,0.0,-0.15616693997255138,-0.004230761528015131,0.653301508098547,0.24732902280827102,0.0,0.0
cora,0,1087,0,4,4,1,0,1,0.33439266452017247,0.16829237341880798,-0.5585848963479008,-0.16441490888023774,0.394169987467663,0.45423074269518326,neighbor_support,0.6033395001250795,-0.7937834430141215,-1.2593496175076642,0.20364186763763428,0.20215976238250732,0.0028087355114616752,0.6061482356365412,0.028747943517124775,0.2866267106083779,0.0,0.0,0.0,0.0,-0.46556617449354265,-0.0014821052551269587,0.6033395001250795,0.2578787670912531,0.0,0.0
cora,0,1173,0,2,2,1,0,1,0.37265071110565634,0.022904187440872192,-0.21704256373078085,0.2077072384083334,0.4247498021391143,0.5633110820082133,neighbor_support,0.3009661356502803,-0.8444803580099491,-0.8992457150170936,0.2017078161239624,0.20662341117858887,0.29912125681961566,0.600087392469896,0.12660872133559023,0.3002421497769422,0.0,0.0,0.0,0.0,-0.054765357007144466,0.004915595054626465,0.3009661356502803,0.17363342844135196,0.0,0.0
cora,0,1340,0,3,3,1,0,1,0.5083723451971558,0.2759249210357666,-0.2868984027586006,0.26608879368277116,0.5529871964413717,0.46548080119157287,neighbor_support,0.8745150259078796,-0.5564878500073209,-1.2130342628191315,0.21005520820617676,0.2037277698516846,0.002486373829940712,0.8770013997378202,0.05704786521260285,0.39839388691239785,0.0,0.0,0.0,0.0,-0.6565464128118106,-0.006327438354492176,0.8745150259078796,0.341346021699795,0.0,0.0
cora,0,1575,1,3,3,1,0,1,0.39375641564067276,0.0871199518442154,-1.0262590473481912,-0.27897007501240545,0.7472889723357857,0.5014638755869466,neighbor_support,0.9,-1.2624196203237328,-1.7861478501332173,0.19712711572647096,0.1988176465034485,0.0,0.9,0.03903345724907063,0.40836012861736337,0.0,0.0,0.0,0.0,-0.5237282298094845,0.0016905307769775335,0.9,0.3693266713682927,0.0,0.0
cora,0,1583,0,3,0,0,1,1,0.4229921048191258,0.031819701194763184,-0.040530192693353756,0.010291687112455261,0.05082187980580902,0.42920933355666224,neighbor_support,0.08645845872217783,-0.6656382434592993,-0.7295504115445336,0.2082622766494751,0.1968670964241028,0.2774219792024131,0.36388043792459096,0.13942379491405735,0.1790945643082951,0.0,0.0,0.0,0.0,-0.06391216808523426,-0.011395180225372309,0.08645845872217783,0.03967076939423775,0.0,0.0
cora,0,1669,1,3,0,0,0,1,0.35022453941394477,0.007977396249771118,-0.6948651595265011,-0.39009378238835685,0.30477137713814423,0.6446645709959368,neighbor_support,0.2249670991814145,-0.9127943928630902,-0.9328684178244854,0.20025322437286378,0.19822909832000735,1.3080493660429133e-05,0.22498017967507491,0.017662928470064853,0.11956535744104625,0.0,0.0,0.0,0.0,-0.02007402496139521,-0.0020241260528564287,0.2249670991814145,0.1019024289709814,0.0,0.0
