dataset,split_id,node_id,bucket,true_label,mlp_pred,final_v3_pred,gcn_pred,appnp_pred,final_v3_changed_from_mlp,final_v3_beneficial_change,final_v3_harmful_change,mlp_margin,passed_uncertainty_gate,passed_reliability_gate,reliability,selected_tau,selected_rho,selected_b6,selected_weights_json,combined_top_score,combined_top_label
chameleon,0,2,high,3,3,3,3,3,0,0,0,0.9982567364349961,0,1,0.4605438621010122,0.56885,0.3,0.4,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.4}",0.7327154468159202,3
chameleon,0,13,medium,0,0,0,0,1,0,0,0,0.4992945194244385,1,1,0.7225856468875707,0.56885,0.3,0.4,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.4}",0.4540050764310403,0
chameleon,0,18,medium,1,0,0,0,0,0,0,0,0.8616850823163986,0,1,0.5948405657464356,0.56885,0.3,0.4,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.4}",0.6851930418812424,0
chameleon,0,51,low,1,0,0,2,1,0,0,0,0.19550937414169312,1,1,0.39682390795362993,0.56885,0.3,0.4,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.4}",0.10204643348247044,0
chameleon,0,59,low,1,0,0,1,0,0,0,0,0.19550937414169312,1,1,0.858866889876747,0.56885,0.3,0.4,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.4}",0.5614532213726673,0
chameleon,0,67,low,2,3,3,3,3,0,0,0,0.37128376960754395,1,1,0.38500893248938234,0.56885,0.3,0.4,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.4}",0.24336489484068463,3
chameleon,0,71,medium,0,0,0,0,1,0,0,0,0.5056218057870865,1,1,0.3502236786275928,0.56885,0.3,0.4,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.4}",0.28569566175234523,0
chameleon,0,85,medium,2,3,3,3,3,0,0,0,0.8653591386973858,0,1,0.6697290466404056,0.56885,0.3,0.4,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.4}",0.8400397744181676,3
chameleon,0,88,low,3,3,3,3,2,0,0,0,0.35703037679195404,1,1,0.40680072234410386,0.56885,0.3,0.4,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.4}",-0.01819417007967239,3
chameleon,0,94,low,1,2,2,3,2,0,0,0,0.3067053258419037,1,1,0.3984078315500292,0.56885,0.3,0.4,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.4}",-0.03180525551123553,2
chameleon,0,97,medium,3,3,3,4,4,0,0,0,0.8613953776657581,0,1,0.4682752936363109,0.56885,0.3,0.4,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.4}",0.4089029007746825,3
chameleon,0,110,medium,4,1,1,4,4,0,0,0,0.5113878548145294,1,1,0.7516534814267765,0.56885,0.3,0.4,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.4}",0.44562224005209333,1
chameleon,0,114,medium,0,1,1,0,0,0,0,0,0.5769256800413132,0,1,0.8563003341527401,0.56885,0.3,0.4,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.4}",0.7603619719499124,1
chameleon,0,115,medium,3,2,2,2,2,0,0,0,0.6818910390138626,0,1,0.7954225369525424,0.56885,0.3,0.4,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.4}",0.6708594269013614,2
