dataset,split_id,node_id,bucket,true_label,mlp_pred,final_v3_pred,gcn_pred,appnp_pred,final_v3_changed_from_mlp,final_v3_beneficial_change,final_v3_harmful_change,mlp_margin,passed_uncertainty_gate,passed_reliability_gate,reliability,selected_tau,selected_rho,selected_b6,selected_weights_json,combined_top_score,combined_top_label
cora,0,4,low,3,3,3,3,3,0,0,0,0.09734299778938293,1,1,0.7882730672358825,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",0.3214996122982618,3
cora,0,15,medium,3,3,3,3,3,0,0,0,0.9885268229991198,0,1,0.8499897766366195,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.507407968237212,3
cora,0,25,low,3,2,2,3,3,0,0,0,0.7496962770819664,0,1,0.46095512804244104,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",0.059110655708323245,2
cora,0,27,high,3,3,3,0,0,0,0,0,0.9997320466209203,0,1,0.43355701196092616,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",0.5722991804806187,3
cora,0,36,high,1,1,1,1,1,0,0,0,0.9999129871939658,0,1,0.9306979898764857,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.5103546577821598,1
cora,0,37,medium,5,5,5,5,5,0,0,0,0.994341962505132,0,1,0.6893295349451317,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.0130501242457879,5
cora,0,48,low,3,3,3,3,3,0,0,0,0.16359400749206543,1,1,0.8945805500359599,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",0.7867908728254044,3
cora,0,55,low,4,4,4,0,0,0,0,0,0.5069704800844193,1,1,0.5361625515837124,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",0.2800743550957496,4
cora,0,60,medium,0,0,0,0,0,0,0,0,0.964561665430665,0,1,0.6223920397744868,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",0.726164489046316,0
cora,0,70,low,5,5,5,5,5,0,0,0,0.7066870033740997,1,1,0.7765599846547868,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.3454035152144583,5
cora,0,73,high,2,2,2,2,2,0,0,0,0.9999114200181793,0,1,0.9676097220957152,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.5592546014101278,2
cora,0,87,medium,6,6,6,6,6,0,0,0,0.8690538853406906,0,1,0.7022267646810106,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",0.9944204530230147,6
cora,0,88,low,0,2,0,0,0,1,1,0,0.07616987824440002,1,1,0.4722076495502088,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",-0.018896736732758157,0
cora,0,89,medium,4,4,4,4,4,0,0,0,0.8524204939603806,0,1,0.8569494515067527,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.0769304633675176,4
cora,0,97,medium,5,5,5,5,5,0,0,0,0.949066461995244,0,1,0.7765599846547868,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.4803297499389543,5
cora,0,104,high,1,1,1,1,1,0,0,0,0.9969776632497087,0,1,0.6840954563145504,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",0.8846621235134908,1
cora,0,111,high,2,2,2,2,2,0,0,0,0.9999076976473589,0,1,0.8888107594319733,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.533371044720984,2
cora,0,118,low,6,0,0,5,5,0,0,0,0.2664799690246582,1,1,0.4029273939029839,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",-0.17963115567077242,0
cora,0,124,medium,1,1,1,1,1,0,0,0,0.991842184914276,0,1,0.7442572270182422,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.007163184131979,1
cora,0,132,medium,5,5,5,5,5,0,0,0,0.9626720920205116,0,1,0.8429724879627774,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.378433105009712,5
cora,0,147,low,3,3,3,5,4,0,0,0,0.3896690458059311,1,0,0.28592691430206474,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",-0.35445211043320857,3
cora,0,148,high,4,4,4,4,4,0,0,0,0.997970441414509,0,1,0.8105121297499468,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.3062183282685997,4
cora,0,151,low,4,0,0,4,4,0,0,0,0.6206754148006439,1,1,0.4324192168504882,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",-0.0035490151293468275,0
cora,0,152,medium,4,4,4,4,4,0,0,0,0.8443460091948509,0,1,0.8492508726248568,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.4498553800187561,4
cora,0,154,medium,2,2,2,2,2,0,0,0,0.9621043503284454,0,1,0.9417481475643559,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.4285845267516135,2
cora,0,155,low,2,1,1,2,2,0,0,0,0.2740615904331207,1,1,0.5368957969838983,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",-0.2990302565970034,1
cora,0,156,high,2,2,2,2,2,0,0,0,0.9999875588205214,0,1,0.7908253251937674,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.1334707902392909,2
cora,0,159,low,3,3,3,3,3,0,0,0,0.5288141220808029,1,1,0.7765484458020081,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.1469067239423156,3
cora,0,163,medium,5,5,5,5,5,0,0,0,0.9738307474181056,0,1,0.727088802021123,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.5120352092468323,5
cora,0,164,medium,0,0,0,0,0,0,0,0,0.8963241018354893,0,0,0.286018882697009,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",0.4008890711517283,0
cora,0,171,low,3,3,3,3,3,0,0,0,0.43192337453365326,1,1,0.7672786814663605,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",0.8821231046843865,3
cora,0,173,high,2,2,2,2,2,0,0,0,0.9967174533521757,0,1,0.8501895188780996,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.5593463615455287,2
cora,0,182,high,3,3,3,3,3,0,0,0,0.9987731652799994,0,1,0.7765599846547868,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.546214044452654,3
cora,0,190,high,6,6,6,6,6,0,0,0,0.9967315938556567,0,1,0.7765418190120826,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.5024188995495915,6
cora,0,199,medium,4,4,4,4,4,0,0,0,0.9857674315571785,0,1,0.609925102422516,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",0.8917265164009938,4
cora,0,201,medium,3,3,3,3,3,0,0,0,0.9810678996145725,0,1,0.9078361513798572,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.4671347246213873,3
cora,0,202,medium,2,0,0,2,2,0,0,0,0.9959822597447783,0,1,0.38464647706892263,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",0.3649566927523365,0
cora,0,209,low,4,5,4,4,4,1,1,0,0.5626794099807739,1,1,0.39375641564067276,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",-0.04340457484369059,4
cora,0,211,low,0,0,0,0,0,0,0,0,0.05572226643562317,1,1,0.7296007499923487,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",-0.06953455299407221,0
cora,0,214,medium,0,0,0,0,0,0,0,0,0.9887213394977152,0,1,0.7270897489740061,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",1.4689178433987422,0
cora,0,220,medium,5,5,5,5,5,0,0,0,0.9876477550715208,0,1,0.3359499569050252,0.71587,0.3,0.0,"{'b1': 1.0, 'b2': 0.4, 'b3': 0.0, 'b4': 0.9, 'b5': 0.5, 'b6': 0.0}",0.2420509976570419,5
