dataset,kind,split_id,repeat_id,node_id,true_label,mlp_pred,final_pred,outcome,mlp_margin,dominant_term,graph_support,feature_support,interpretation
citeseer,promising,7,2,1876,1,3,1,helped,0.004156,mlp_term,1.221809,0.208935,"helped: graph evidence dominated (neighbor+compatibility); margin=0.004"
citeseer,promising,7,2,2422,2,1,2,helped,0.007603,mlp_term,0.663366,0.205467,"helped: graph evidence dominated (neighbor+compatibility); margin=0.008"
citeseer,promising,7,2,2848,3,5,3,helped,0.017786,mlp_term,1.005979,0.211811,"helped: graph evidence dominated (neighbor+compatibility); margin=0.018"
citeseer,promising,7,2,369,2,1,2,helped,0.047939,graph_neighbor_term,1.290523,0.200818,"helped: graph evidence dominated (neighbor+compatibility); margin=0.048"
citeseer,promising,7,2,2013,2,0,2,helped,0.049577,graph_neighbor_term,1.287581,0.201783,"helped: graph evidence dominated (neighbor+compatibility); margin=0.050"
citeseer,promising,7,2,696,3,2,3,helped,0.073484,mlp_term,1.252460,0.206154,"helped: graph evidence dominated (neighbor+compatibility); margin=0.073"
citeseer,promising,7,2,2802,3,2,3,helped,0.097399,mlp_term,0.900130,0.207202,"helped: graph evidence dominated (neighbor+compatibility); margin=0.097"
citeseer,promising,7,2,785,3,1,3,helped,0.099064,mlp_term,1.254651,0.203827,"helped: graph evidence dominated (neighbor+compatibility); margin=0.099"
citeseer,promising,7,2,956,1,0,1,helped,0.110168,mlp_term,0.765465,0.197787,"helped: graph evidence dominated (neighbor+compatibility); margin=0.110"
citeseer,promising,7,2,989,4,1,4,helped,0.110985,mlp_term,1.266850,0.203983,"helped: graph evidence dominated (neighbor+compatibility); margin=0.111"
chameleon,mixed,2,0,124,4,2,4,helped,0.030708,mlp_term,0.692511,0.196537,"helped: graph evidence dominated (neighbor+compatibility); margin=0.031"
chameleon,mixed,2,0,1131,4,2,4,helped,0.034447,mlp_term,0.416320,0.200000,"helped: graph evidence dominated (neighbor+compatibility); margin=0.034"
chameleon,mixed,2,0,189,1,4,1,helped,0.048643,mlp_term,0.488887,0.243102,"helped: graph evidence dominated (neighbor+compatibility); margin=0.049"
chameleon,mixed,2,0,892,1,0,1,helped,0.054718,mlp_term,0.349185,0.220223,"helped: graph evidence dominated (neighbor+compatibility); margin=0.055"
chameleon,mixed,2,0,782,4,1,4,helped,0.076433,mlp_term,0.438837,0.204049,"helped: graph evidence dominated (neighbor+compatibility); margin=0.076"
chameleon,mixed,2,0,1398,0,4,2,changed_wrong_to_wrong,0.007379,mlp_term,0.292318,0.199272,"changed_wrong_to_wrong: graph evidence dominated (neighbor+compatibility); margin=0.007"
