dataset,split,node_id,true_label,mlp_pred,canonical_pred,local_pred,mlp_margin,h_v_soft,local_multiplier,local_gate_active,is_uncertain,passes_reliability_gate,is_corrected_branch,is_changed_local,is_changed_helpful_local,is_changed_harmful_local
chameleon,0,2,3,3,3,3,0.9939904494676739,0.27185559687368366,1.0,True,False,True,False,False,False,False
chameleon,0,13,0,0,0,0,0.6294117122888565,0.33419251495743335,1.0,True,False,True,False,False,False,False
chameleon,0,18,1,0,0,0,0.8786605037748814,0.3333333333333333,1.0,True,False,True,False,False,False,False
chameleon,0,51,1,0,0,0,0.20328989624977112,0.1157089438543153,1.0,True,False,True,False,False,False,False
chameleon,0,59,1,0,0,0,0.20328989624977112,0.5783657641313475,1.0,True,False,True,False,False,False,False
chameleon,0,67,2,3,3,3,0.4564312994480133,0.18623048676818144,1.0,True,False,True,False,False,False,False
chameleon,0,71,0,0,0,0,0.29235100746154785,0.25,1.0,True,False,True,False,False,False,False
chameleon,0,85,2,3,3,3,0.903427142649889,0.3373765042051673,1.0,True,False,True,False,False,False,False
chameleon,0,88,3,4,4,4,0.03287360072135925,0.09766550958750031,1.0,True,True,True,True,False,False,False
chameleon,0,94,1,2,2,2,0.11591669917106628,0.01190129547030665,1.0,True,False,True,False,False,False,False
chameleon,0,97,3,3,3,3,0.22622182965278625,0.13431190514044525,1.0,True,False,True,False,False,False,False
chameleon,0,110,4,1,1,1,0.5628165602684021,0.3614761643111706,1.0,True,False,True,False,False,False,False
chameleon,0,114,0,1,1,1,0.7077921330928802,0.5628765693181691,1.0,True,False,True,False,False,False,False
chameleon,0,115,3,1,1,1,0.14593496918678284,0.2868908161809668,1.0,True,False,True,False,False,False,False
chameleon,0,116,1,0,0,0,0.9552489556372166,0.5783657641313475,1.0,True,False,True,False,False,False,False
chameleon,0,124,4,3,3,3,0.5156979858875275,0.33426293948893243,1.0,True,False,True,False,False,False,False
chameleon,0,125,4,3,3,3,0.9948588068364188,0.2504425248512234,1.0,True,False,True,False,False,False,False
chameleon,0,132,3,3,3,3,0.8877488821744919,0.09491752929312093,1.0,True,False,True,False,False,False,False
chameleon,0,137,1,1,1,1,0.4680899381637573,0.18143377054366283,1.0,True,False,False,False,False,False,False
chameleon,0,138,4,4,4,4,0.873357780277729,0.5456512741842413,1.0,True,False,True,False,False,False,False
chameleon,0,144,1,0,0,0,0.9670878555625677,0.5783657641313475,1.0,True,False,True,False,False,False,False
chameleon,0,157,0,3,3,3,0.6044635623693466,0.040074137501202735,1.0,True,False,True,False,False,False,False
chameleon,0,161,2,1,1,1,0.9890435822308064,0.4773665900680829,1.0,True,False,True,False,False,False,False
chameleon,0,162,3,3,3,3,0.988735765684396,0.2797303554683122,1.0,True,False,True,False,False,False,False
chameleon,0,164,0,1,1,1,0.10549640655517578,0.152054088562909,1.0,True,False,True,False,False,False,False
chameleon,0,165,4,4,4,4,0.9999999985956052,0.19056978958492113,1.0,True,False,True,False,False,False,False
chameleon,0,168,3,3,3,3,0.9976185719133355,0.2055413618994256,1.0,True,False,True,False,False,False,False
chameleon,0,174,2,1,1,1,0.4956411272287369,0.06861546517362571,1.0,True,False,True,False,False,False,False
chameleon,0,176,2,0,0,0,0.9997872303938493,0.11130454735325263,1.0,True,False,True,False,False,False,False
chameleon,0,177,1,1,1,1,0.28776729106903076,0.24394247359769794,1.0,True,False,True,False,False,False,False
chameleon,0,180,1,2,2,2,0.6195982396602631,2.1090848179028399e-07,1.0,True,False,False,False,False,False,False
chameleon,0,187,2,3,3,3,0.9951676557539031,0.162169314881724,1.0,True,False,True,False,False,False,False
chameleon,0,203,2,0,0,0,0.7356027513742447,0.14838004381910075,1.0,True,False,True,False,False,False,False
chameleon,0,215,0,0,0,0,0.5430055409669876,0.0005082730658045875,1.0,True,False,True,False,False,False,False
chameleon,0,218,4,3,3,3,0.8773864097893238,0.2999280646280248,1.0,True,False,True,False,False,False,False
chameleon,0,219,4,3,3,3,0.9972848535981029,0.0002724165969993919,1.0,True,False,False,False,False,False,False
